arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
7,2,1,36,505000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r431101694,14027.777777777777
7,2,1,70,1200000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r432501892,17142.85714285714
7,2,1,50,650000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r432501260,13000.0
7,1,0,10,180000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r430700993,18000.0
7,6,3,190,2900000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r429300085,15263.157894736842
7,2,1,38,790000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r429701466,20789.473684210527
7,3,2,52,929000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r431800041,17865.384615384617
7,1,0,18,280000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r430901826,15555.555555555555
7,3,2,65,1150000,https://www.pap.fr/annonces/appartement-paris-7e-r424301898,17692.30769230769
9,3,1,45,607500,https://www.pap.fr/annonces/appartement-paris-9e-75009-r431301632,13500.0
9,7,4,153,1750000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r431102055,11437.908496732027
9,4,2,87,1190000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432000424,13678.16091954023
9,8,5,255,4300000,https://www.pap.fr/annonces/appartement-paris-9e-r424100529,16862.745098039217
9,1,0,19,235000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432202147,12368.421052631578
9,3,2,60,830000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432600904,13833.333333333334
9,5,3,105,1315000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432701191,12523.809523809523
9,1,0,25,325000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432201794,13000.0
9,2,1,37,480000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r431100376,12972.972972972973
9,1,0,10,150000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432501057,15000.0
9,1,0,22,320000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432700442,14545.454545454546
9,1,0,15,198000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432700553,13200.0
9,1,1,8,120000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432700668,15000.0
9,4,2,99,1470000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432700716,14848.484848484848
9,4,2,93,1270000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r431800547,13655.913978494624
9,2,1,30,399000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432503029,13300.0
9,5,3,145,1587000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432602270,10944.827586206897
9,2,1,28,307000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432602638,10964.285714285714
9,1,0,27,410000,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432602725,15185.185185185184
